ILK
PIF1
SLC35A4
PEPD
ONECUT2
MOCS1
HRC
HAPLN4
ACAN
VILL
EML2
LAMA2
ZNF385A
SCN1B
TTC39A
TAP1
RAB37
PIP5K1B
KIAA1614
ZBTB1
SLCO4A1
CTXN3
SYNDIG1L
MGST2
NUB1
INTS4P1
ALDH1A3
OSBPL3
LAPTM4B
CDK2AP1
GNA14
UBE2O
ITGA7
THAP10
LAG3
CUX1
STAC2
ALS2CL
MX1
KCNS1
CPXM2
SLC6A12
MXI1
HES6
ANTXR2
UBL4A
SRPRA
PNKD
PNLDC1
PDGFRB
VWA3A
ACVR1C
MYLK
ZSCAN9
RHOBTB2
CRABP1
TTC12
TMEM132C
GADD45B
CTIF
NR1H2
FZD10
ESRRA
SCRT1
MYH7B
KLHL24
GMPR
LINC01102
RILP
MFGE8
ZNF853
`PTPRD-AS1`
URM1
REPIN1
PARP3
MGAT1
RET
SDHA
RBPMS
SLC10A7
CKMT2
LCP2
ESAM
MASP1
CDKN2C
GPR20
`SERTAD4-AS1`
MADCAM1
SMIM20
P2RX6
GLS2
FAM189B
BHLHE40
AIFM3
ATP4A
SLC39A13
DENND2D
TMCC2
TCIM
SLC25A5
ANKH
`ADARB2-AS1`
DIO3OS
LINC00652
GSTT1
ADD1
VAMP1
BTF3
RNF157
TMEM237
PCGF2
TMEM14C
ESRRG
PVR
PMEPA1
ESRRB
SETD7
NEFH
ADAM23
DEXI
MRGPRF
APOL2
MIR600HG
METTL17
`HLA-A`
SH3BGRL
GSTK1
DHRS7
GIPC1
SLC7A8
BRSK1
HEG1
SDSL
IFITM4P
MED11
IDH3G
KNG1
TM4SF1
JDP2
ZNF423
EPHB2
NAAA
ACHE
LGI3
MIF4GD
LOC401357
VWC2
ENG
ESYT1
ACTN4
CMYA5
STRBP
EIF3G
PENK
GPR146
TSPAN9
SMARCD2
SEMA6D
JAM2
ZNF76
EPN3
ANK1
LZTS3
LURAP1L
SMCO4
ITPRIPL1
GNPTG
CPLX1
PRKCB
SSH3
CKB
SAMD4B
SUSD4
COG2
TUBG2
FADS6
SYT2
`OIP5-AS1`
HSPB6
MPP1
CD14
EXTL2
KAT2A
HR
ANAPC7
KCNC3
SCN4B
RGS16
NAT8L
KYAT1
HIBADH
IER2
PIP4K2C
ACYP2
KCNC1
LINC01158
G0S2
SHMT1
TRPC3
ABCB1
CACNA2D3
GATAD2A
ARIH2OS
CHD2
MAD1L1
FUNDC2
DDX55
EDNRA
MSTO1
LOC100286906
CTSA
ENTPD4
FER1L4
RHBDL3
TMEM138
SLC2A11
RERGL
PHKA2
ADAMTS14
IGFBP2
VPS52
MITF
FSTL1
ITPR1
DDX11
MKRN2
TRMT10A
TLE2
SRP68
CNNM1
ITIH5
HERC2P2
ERG
PTH1R
OLFM4
FGR
SPHK2
LINC00999
LYPD5
CSDC2
GNB3
FAM206A
NR3C1
NFIC
BMP8B
CDR2L
HIGD1B
DNAJC4
FBXO33
PCGF1
GSE1
MOGAT1
SLC25A37
COLCA2
SBK1
CALCOCO1
SEC14L5
SEC14L1
HAR1A
INPP5A
KCNA1
`TP73-AS1`
RBMS1
BCAT2
MROH5
SPOCD1
PDLIM7
RGS6
SNRNP25
GTF2IRD1
LOC284454
CSRP1
TAF12
ACVRL1
KCNIP2
STEAP2
SLC24A2
CXCL14
SLC25A15
USF2
PLEKHM2
KCNAB3
GPCPD1
ZNF213
IFIH1
TMEM204
PTK2B
RELL2
`HLA-G`
HARS
TCTN3
RMDN3
TRMT2B
ABTB2
POU3F1
DHX32
NAP1L1
HHAT
SORBS3
AR
PRKACA
EIF4E2
SLC5A6
ARHGAP9
TSC22D3
CLEC4M
FAM167A
TMEM184C
SLC29A2
IGLL3P
ARPC1B
TNS2
ZNF365
RCCD1
ABCC8
KHNYN
GGTLC2
ZFPM2
SLC16A6
INHBA
KREMEN2
