RNU12
MATN3
CA5A
TTR
EMCN
MICB
SDR39U1
RASL11A
ZNF547
HTRA3
USP15
ABCB1
POMT1
PENK
SPINK8
FAM122C
ABCG2
DTD1
MIGA2
SLC22A17
ZNF546
MICA
MFSD2A
PEPD
CALN1
ZNF571
TNFAIP8
ERG
FGR
AQP7
MPDU1
LMO2
ZNF592
IFI27
MAML3
TM9SF1
PHACTR2
MEIKIN
PRKCA
COX7C
ISM1
SNHG1
EPHB2
TMEM204
`FAM111A-DT`
BEND7
GMPR
KCNN4
RNF212
VSTM1
PRKCH
LOC399815
TSC22D3
XKR8
CLEC2B
WAPL
CA12
TBX1
SLC25A32
FAM43A
RFX5
ACP2
SLC38A5
DOK3
PLAUR
NOSTRIN
SLC38A3
ITM2A
`AFDN-DT`
DHRS13
HERC3
NAAA
A2M
MX1
ECD
SHISAL2A
HBP1
PCAT19
LOC100128361
SPON1
UPRT
SLC19A3
HIST1H4C
ST3GAL2
ABTB2
SLC25A36
EML2
CLDN5
S100A8
TAF2
LINC01137
HCG4
LRRC66
SLC25A19
GPN1
PTTG2
GCAT
GIMAP6
TTC25
SHISA6
TMEM61
RSAD2
SEMA3G
NANS
ESCO1
CTSC
TNNT3
MTRF1
MRRF
CYFIP1
SRGAP2B
PRR16
CHPF
PMAIP1
POGLUT1
DEFB131A
WARS
ST6GALNAC1
TAP2
RRAGA
RMI1
KNG1
ARHGEF11
TMEM41A
LSG1
TNIP1
XYLT2
ATP5F1B
PTX3
LINC01158
`NKX3-1`
CXorf36
TBCC
PPARD
ILK
VWF
TDP2
GNRH1
LEF1
SLC46A1
CCDC153
WASHC2A
ASXL2
SOS1
TM4SF18
ZNF823
`SLC25A5-AS1`
PCTP
VPS11
BRD2
IL6R
IPW
ACHE
FRY
ADAT2
APPBP2
BACE2
ITGA1
ACVR1
TMEM88
ORAOV1
SH2B2
PROS1
BTN3A2
`EPB41L4A-AS1`
TPP2
TNFSF10
CACFD1
CDADC1
`HLA-C`
FKBP5
ZNF92
MGST2
HRC
GLB1
NDRG3
TMEM143
CENPK
PABPC5
COX7A2
PACSIN2
HDHD3
FAM111A
LOC100128288
BTN3A3
TMEM229B
MARCO
MBLAC1
FAM214A
HSBP1L1
NPPB
HSPA4L
KATNAL2
C11orf96
CSDC2
CDHR3
MRPS15
ESRRA
PARP9
DPP8
FGD5
WASHC4
PEX16
TNF
RNF144B
IFIT5
ESRRB
TMEM45B
MAS1L
SPDYE1
PARP3
MITF
TIFA
TRIM67
ADAM17
SYT6
VEGFC
LRRC49
NDUFV3
PLCG1
EBF1
ANGPT2
USF2
`HLA-F`
ZIC4
PUDP
CUTA
DENND6A
PTPN20
`KRTAP10-10`
ZBTB26
NT5C3B
WNT3
`HLA-J`
SPATA6L
FAM189B
`ANKRD20A4-ANKRD20A20P`
AKAIN1
MPZL3
CCDC122
BPGM
SMIM3
C8orf37
IFIH1
TBC1D4
KIAA0586
SERPINB9
NOTCH4
SOX17
ARHGAP39
TEX9
MTX1
SLC22A18AS
TAS2R13
APIP
RPS6KL1
PDE4A
C16orf72
PCDH11Y
IFI44L
FAM155A
RAB3IP
GNS
PRX
SMTN
`KRTAP19-8`
IRF5
RAB2B
TCN2
CEP112
ARL4C
KCNIP1
MYLK2
KLC2
CLIC1
LRP8
LAMTOR1
EYA4
DENND4C
TNPO3
