DOCK4
CTNND2
ROBO1
KCTD4
SLC17A8
RAB3D
SUB1
ALKAL2
VRK1
GLOD4
DYDC2
GRIA3
MOB1B
PPP4R4
TMEM158
ATP2B4
SERP1
VPS29
HPCAL4
LOC440934
PJA1
LCLAT1
MCTP1
ZNF277
MGST1
GMFB
METTL8
PIANP
NPTX2
SLC9A6
CDKN2D
LYRM9
NADK2
C11orf97
RFLNB
SH3RF1
PPP5D1
ANOS1
ANXA7
NORAD
SOWAHA
GSKIP
IDNK
NIPSNAP3A
FRA10AC1
PKD2L1
NBDY
FGFR1OP2
RBP4
SULF2
OR2A2
KCNG3
HTR2C
CPE
SIX5
KCMF1
TMEM164
MOXD1
ANO3
`SOX9-AS1`
SNX7
ATP6V0A4
FAM86EP
NHSL1
TRUB1
CETN2
FAM86FP
CCDC90B
UHMK1
NDUFC2
SIRT3
PTP4A1
PSD3
MRPL20
NOV
PPIL6
EGR3
RUNDC1
SLC25A47
GDA
PPP1R12A
DGKB
PID1
TMEM150C
NUDT11
`ARHGAP5-AS1`
CDC42SE2
PLXNA1
PFDN4
LRRC3B
TLE1
NR2E1
WASHC3
UMPS
KAAG1
SH3BGR
IPO5P1
CTXND1
PKIA
RFK
GABRG1
RAP2B
ATOH7
ME2
RNF139
`PAXIP1-AS1`
NIT2
KCNB2
EXOSC7
PRR15
ENOX1
BIRC3
GFM2
ZBTB44
EFNB2
MYRIP
AHRR
GMFG
NDUFAF8
FILIP1
LINC00319
STARD3NL
RIIAD1
TMTC1
ZMAT2
MRAS
ETNPPL
DOK6
GRB14
PINLYP
DYRK1A
SVOP
FOXG1
CCDC170
GGTA1P
XYLT1
AK4
CLEC4G
UG0898H09
ZNF831
TAMM41
CARTPT
CD53
KLHL2
GPR27
LOC100129291
RNF150
GPD2
ZNF706
OCRL
CACUL1
MAFA
MRPL30
GABRA5
HMGN2
RSPH1
GDF15
SPIN4
HTR4
TTC7B
RPAP3
MAOB
FNBP1L
CEP83
DNAH5
PLCXD3
TBC1D24
SYT17
JPT1
RAD21
SPIN1
POLE4
AZIN1
UCHL3
C1S
MAGEA6
WIF1
LOC100288911
TBXT
DUSP5P1
LINC02482
SPRED1
SCGN
FAM171B
HSPB11
UBE2B
HGF
CHST15
NKAIN3
PPIL4
LINC01485
LOH12CR2
UBE2Z
C3orf14
KIAA0368
UBE2N
TSHZ2
SLC25A23
MRO
DNAJC7
C1R
LOC100507516
CCDC97
CNR1
ST6GALNAC5
CACNA1H
NUDT7
STK17A
KLRC2
AGPAT5
PPARA
MMD
GTPBP3
NME4
IL33
COA6
RHEB
CHL1
DCP2
SLAMF9
WDR17
ARNT2
TNFRSF11A
CALHM6
MYB
KCNAB1
RSPO3
SOX9
PRNP
PTPRF
LOC100240735
KCNA4
KIF16B
GTF3C6
LOC441666
CHRDL1
RUBCN
MAP3K20
CDC40
NDST3
ARHGAP6
FRMD6
RRAS2
ANKRD6
INSM1
WASF3
MUC4
MACROD2
TAS1R1
SYTL5
FABP7
MSANTD1
SSTR2
MT1M
HSPA13
ADA2
NACA2
BAG2
CACHD1
NPBWR1
COL4A3BP
DYRK2
SSTR1
CENPW
SLC25A46
NCKAP1
SAP18
BEX1
SNAPC5
COG1
COPS9
GLRA2
TMEM263
CETN3
SPATA18
LANCL2
PYY2
LOC93622
ANTXR1
PYGL
CARNMT1
MUC6
SDHC
SLA
PARVA
IKBIP
CPZ
PI3
RORC
DOC2B
CSGALNACT1
RGMB
RAB27B
PIK3R5
TDRD9
GHRL
PCDH8
AP3S1
KIAA0087
PRR29
E2F3
SESN3
TM2D3
LOC541472
SLC5A12
DNAAF4
PSME2
NEUROD6
ICAM5
WDR26
WIZ
DUSP9
ARMCX1
KLF16
MSL3
LCE6A
SUMF1
MBLAC2
NETO2
ZNF226
VAT1L
ARHGEF28
HRH4
KIAA1147
USP46
TAC1
CDK15
GLUD2
DEFB132
CBFB
CYP2B6
OCA2
SNTG2
PTCHD1
HEATR5B
GTDC1
GGCX
GPAT2
HIST1H2BK
IL13RA2
HTR7P1
SPON2
TRIQK
SH3BGRL2
LOC145694
CCDC6
GABRA2
LOXL1
GRIA1
CFAP97D1
PWAR6
MUM1L1
LINC02550
CORT
SNN
RCN1
RGS14
EFCAB1
NLGN4Y
WDR3
GNPTAB
PDGFC
MYCNOS
BMT2
ANKRD20A11P
SUMO3
FAM47C
ABI1
DUSP19
NCAM2
STX7
C1QL3
NEXMIF
ZNF880
ANKRD11
ASTN1
ZFP90
YPEL1
FZD1
ZNF71
LOC441052
CD24
ADGRV1
CELF3
CPNE6
ERFE
GTF2F2
GPAM
TUBA3FP
ATP6V1H
FAM120AOS
DKFZp779M0652
RPL27A
FAM9B
DAPL1
`LY86-AS1`
SLC17A9
BAALC
SCPEP1
SMIM15
JAZF1
LZTS1
MAP3K19
KPNA2
ZNF737
`THAP9-AS1`
DNAJC24
ONECUT1
DRD2
SH2D5
ZNRF4
EIF1AY
LOC105377590
RFTN1
UBA52
PRKCG
IL26
SLC26A4
ANK3
GPC4
PLPPR4
ELFN1
FHOD3
RSU1
TMSB4Y
CDS2
KLHL5
B3GNT2
WDR86
DCUN1D4
SQLE
SYNPR
GULP1
SHC3
SKAP2
RALBP1
`RPL34-AS1`
HMX3
IRGC
TNNT1
TLX1NB
LOC100128164
TH
`NKX2-8`
C2orf80
DLD
OSER1
CACNB2
UFD1
TWISTNB
LINC00461
CD83
CRYM
FTL
DIAPH2
YLPM1
FAM98A
TUBB2B
DKKL1
CYP26C1
SMAD1
TSPOAP1
KIAA1468
C1orf52
RALA
SLC27A1
SNRNP27
EID2
PHLDA1
SNAP29
CCDC43
PCDH19
HRH1
PALD1
MKL2
BORCS7
ELMO2
TRMT5
ANGPT4
PCGF3
GGCT
SLURP1
ACOT2
CALD1
BEX5
F12
CDH11
PFN2
TCTEX1D2
TMEM176A
HDDC2
CXorf57
SNRPD3
TULP4
RAB22A
CELF5
APAF1
STOX1
NDOR1
DKK3
DIEXF
AKR7A2
SV2B
EDNRB
PLPP4
SLCO2B1
NPAP1
ZNF56
RNF151
PTER
EIF5B
MOCS2
PRDM12
DPCD
CD3E
TOMM20
GGT3P
CAPG
SLFN12
UFM1
`IGF2-AS`
CWC27
PLAC9P1
`B3GALT5-AS1`
SMNDC1
OXCT1
RGS20
CGB1
RAB18
ZNF826P
COMMD6
PRKAA2
DYNLL1
MARCH4
`GS1-124K5.4`
SPRYD7
OR10G2
MRPS6
ASB16
CXXC4
GNAQ
SLC25A22
RCHY1
C2orf69
GSTCD
C17orf67
MIR205HG
CCDC88C
ZNF208
`KRTAP6-1`
SC5D
DYRK3
ZCCHC17
NECTIN2
LINC00958
RSPH6A
SEMA4F
LGALS3BP
NANOS1
YAF2
ZNF99
`LEF1-AS1`
CCT6B
UBE3A
FSIP1
