CEACAM21
OR8B12
CHST4
ESM1
XIRP1
MYO1C
SPRY3
ISG20L2
DGLUCY
C1orf210
RGS1
RDH5
RASL11A
DDX23
NEDD4
FXYD5
F10
UBOX5
CABIN1
TAC4
GGT6
BFAR
NEU4
`LINC00266-1`
ALKAL1
CCDC97
CA5A
PAK4
TRIM46
LINC01000
S100A11
LIPT1
CHAD
FADD
LINC00475
ABCB1
EFCAB12
MS4A4A
APPL1
NCF1C
PDPR
UHRF1BP1L
CCDC40
BRD3
RAD9A
PROKR1
TBC1D3P5
CYSLTR1
LMAN1L
TCEANC2
XRN2
KLF14
CRYGA
KCNK15
`CYP1B1-AS1`
NRIP2
OR13H1
LOC105372990
TNFSF10
C8orf37
SERTAD3
POP1
LOC646938
MIR205HG
TRIM29
MRPS11
ASTL
CDCA3
SERTAD1
DAB2
FAM13A
RPL14
GGT3P
MCM9
MYBL2
C3orf70
GPX5
TCAM1P
MEF2D
PDPN
SHISAL2A
SOX7
TBX1
`MAFG-AS1`
`KRTAP4-11`
OR2A14
ZNF880
LOC441081
PTGER2
PRIM1
LALBA
ACAD11
PDCD1
LOC286359
OR4K2
`KRTAP19-8`
LATS2
TNRC18
TREM2
IGSF9
RALGAPB
LINC01126
SYNE4
RETNLB
SERPINA3
LINC01278
AJM1
FOXR1
GADD45A
TNFAIP8L2
KLHL5
ZNF778
FUT3
APOL6
DENND4C
MS4A7
TFE3
FRMD8
LINC01976
USP18
LDHAL6A
TNF
ITPKC
TFR2
PHKA1
PPIP5K1
MYBPC3
PTPN22
SMARCD2
SETD3
MAN2B1
SERPINA1
SLC35G3
ZNF707
NME6
EIF5AL1
SLC17A9
ZNF32
F2RL1
MUSK
GPN1
CYTL1
GEMIN7
RABEP2
P2RX4
DTX3L
SFN
TMC8
HNRNPAB
C20orf196
CACNG6
TSPAN1
PROSER3
ARPC1B
SMR3A
`HLA-DPA1`
RELT
TRIM39
CALHM2
ALKBH3
INTS5
S100P
LINC01869
C11orf16
OR6C65
TLX1
MAPKAPK3
`KRTAP19-1`
OR52N2
ANO6
POR
MYH14
OSTF1
TMEM106A
MROH6
BCAM
TRPM5
CLDN9
AP5B1
C19orf44
TNFRSF8
ABCG8
TROAP
SLC35E4
TES
ISX
KRT17P5
LHFPL5
INHA
RTTN
RASGRP2
ZNF426
SSU72
DDI2
AFAP1L1
MCM5
CYP1A2
ZNF205
DDX31
ITM2A
MYT1
TPO
GZMM
TBX5
TM9SF1
PIP5KL1
PRICKLE4
CAMK2B
EZH1
GREM1
SPECC1
TG
SPINK8
TMEM171
SPATA2L
KRI1
SERPINB9P1
DNAJC11
JAGN1
FOXA2
